<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
AAPL;60;230707;110000;190.68;191.78;190.675;191.75;238111
AAPL;60;230707;120000;191.76;192.52;191.76;192.32;298605
AAPL;60;230707;130000;192.32;192.66;192.17;192.32;254236
AAPL;60;230707;140000;192.32;192.5;192.18;192.26;166495
AAPL;60;230707;150000;192.23;192.37;190.61;190.7;593750
AAPL;60;230710;090000;189.27;189.98;187.16;187.62;462644
AAPL;60;230710;100000;187.61;189.5;187.6;188.15;358507
AAPL;60;230710;110000;188.17;188.44;187.53;187.53;302825
AAPL;60;230710;120000;187.54;188.13;187.04;188.04;277902
AAPL;60;230710;130000;188.04;188.345;187.76;188.28;204091
AAPL;60;230710;140000;188.3;188.7;188;188.58;199161
AAPL;60;230710;150000;188.58;188.79;188.1;188.63;454553
AAPL;60;230711;090000;189.21;189.26;187.595;187.81;261865
AAPL;60;230711;100000;187.84;188.56;187.46;188.155;257459
AAPL;60;230711;110000;188.16;188.46;187.27;188.19;213013
AAPL;60;230711;120000;188.2;188.37;187.47;187.71;190506
AAPL;60;230711;130000;187.7;187.78;187.18;187.47;162433
AAPL;60;230711;140000;187.47;187.51;186.6;187.35;220815
AAPL;60;230711;150000;187.35;188.26;186.98;188.05;507215
AAPL;60;230712;090000;189.74;191.69;189.48;190.715;600279
AAPL;60;230712;100000;190.72;190.98;189.57;189.68;371719
AAPL;60;230712;110000;189.69;189.88;188.475;188.66;308282
AAPL;60;230712;120000;188.605;189.82;188.57;189.37;216385
AAPL;60;230712;130000;189.37;190.02;189.37;189.93;169001
AAPL;60;230712;140000;189.93;190.4;189.825;189.98;219860
AAPL;60;230712;150000;189.98;190.23;189.57;189.84;505175
AAPL;60;230713;090000;190.42;191.09;189.94;190.3;282831
AAPL;60;230713;100000;190.29;190.765;189.78;190.32;298729
AAPL;60;230713;110000;190.33;190.705;190.05;190.63;192411
AAPL;60;230713;120000;190.65;190.84;190.34;190.42;167806
